name,town,sport,website,email,phone
1. Snooker Club Breakers Rüsselsheim 1991 e.V.,ruesselsheim,sonstiges_sport,https://scbreakers.de,,
AFC Rüsselsheim Crusaders 2016 e.V.,ruesselsheim,mehrsport,https://afc-ruesselsheim-crusaders.de,info@afc-ruesselsheim.de,+49 176 57934726
ASV Angelsportverein Bauschheim 1962 e.V.,ruesselsheim,angeln,https://asv-bauschheim.de,info@asv-bauschheim.de,06142-72480
ASV Angelsportverein Rüsselsheim 1930 e.V.,ruesselsheim,angeln,https://asv-ruesselsheim.de,,
Baseball-Club Rüsselsheim/Nauheim Moskitos 1986 e.V.,ruesselsheim,sonstiges_sport,https://ruesselsheim-moskitos.de,info@ruesselsheim-moskitos.de,
Bogensportclub Wüster Forst Rüsselsheim e.V.,ruesselsheim,schiesssport,https://bsc-ruesselsheim.de,,
Deutscher Alpenverein – Sektion Rüsselsheim e.V.,ruesselsheim,mehrsport,https://dav-ruesselsheim.de,,+49 6142 12707
DLRG Rüsselsheim e.V.,ruesselsheim,schwimmen,https://ruesselsheim.dlrg.de,,06142 14019
Fechtclub Rüsselsheim 1957 e.V.,ruesselsheim,kampfsport,https://fechtclub-ruesselsheim.de,,
FV Hellas Rüsselsheim e.V. 1978,ruesselsheim,fussball,https://fvhellas1978.de,,
In Bewegung – Verein zur Förderung ganzheitlicher Gesundheit e.V.,ruesselsheim,kampfsport,https://verein-inbewegung.de,tao-ruesselsheim@li-stil.de,06142 – 13251
Judo-Club Rüsselsheim e.V.,ruesselsheim,kampfsport,https://jc-ruesselsheim.de,,
Karate-Dojo Rüsselsheim e.V.,ruesselsheim,kampfsport,https://karate-ruesselsheim.de,,
Leichtathletik-Club Rüsselsheim e.V. 1969,ruesselsheim,leichtathletik,https://lc-ruesselsheim.de,,
LG Rüsselsheim,ruesselsheim,leichtathletik,https://lg-ruesselsheim.de,,
Motorsport- und Touristik Club Rüsselsheim e.V.,ruesselsheim,radsport,https://mtcr.de,,01749228838
MSC Bauschheim e.V. im ADAC,ruesselsheim,sonstiges_sport,https://msc-bauschheim.de,,
PSG Rüsselsheim e.V.,ruesselsheim,sonstiges_sport,https://psg-ruesselsheim.club,,
Rad- und Motorsportclub Rüsselsheim e.V.,ruesselsheim,radsport,https://rmsc-ruesselsheim.de,,
Radfahrer-Verein Opel 1888 Rüsselsheim e.V.,ruesselsheim,radsport,https://rv-opel-1888.de,info@rv-opel-1888.de,
Reha- und Gesundheitssportverein Rüsselsheim e.V.,ruesselsheim,mehrsport,https://medifitness-ruesselsheim.de,studio@medifit-ruesselsheim.de,06142-3308650
Reit- und Fahrverein Rüsselsheim-Bauschheim e.V.,ruesselsheim,reitsport,https://ruf-bauschheim.de,info@ruf-bauschheim.de,
Reitsportverein Rüsselsheim e.V.,ruesselsheim,reitsport,https://reitsportverein-ruesselsheim.de,vorstand@reitsportverein-ruesselsheim.de,015253569678
Rüsselsheimer Roll- und Schlittschuh-Club e.V.,ruesselsheim,sonstiges_sport,https://ruesselsheim-royals.com,info@ruesselsheim-royals.com,
Rüsselsheimer Ruder-Klub 08 e.V.,ruesselsheim,wassersport,https://rrk-online.de,,
Rüsselsheimer Schwimm-Club 1954 e.V.,ruesselsheim,schwimmen,https://schwimm-club.de,geschaeftsstelle@schwimm-club.de,
SC Opel 06 Rüsselsheim e.V.,ruesselsheim,fussball,https://scopel.de,,
Schützenverein 1862 Rüsselsheim e.V.,ruesselsheim,schiesssport,https://sv1862ruesselsheim.de,,
Schützenverein Tell Rüsselsheim-Haßloch e.V. 1910,ruesselsheim,schiesssport,https://tell-hassloch.de,,
Segel Club Rüsselsheim 03 e.V.,ruesselsheim,wassersport,https://scr03.de,info@scr03.de,
Selbstverteidigungsverein Rüsselsheim e.V.,ruesselsheim,kampfsport,https://selbstverteidigungsverein.de,,
Ski-Club Bauschheim 1981 e.V.,ruesselsheim,sonstiges_sport,https://sc-bauschheim.de,sc-bauschheim@online.de,+4915233907901
Sport- und Kulturgemeinde Bauschheim e.V.,ruesselsheim,mehrsport,https://skg-bauschheim.de,,
Sportgemeinschaft Eintracht Rüsselsheim e.V.,ruesselsheim,mehrsport,https://eintracht-ruesselsheim.de,info@eintracht-ruesselsheim.de,+49-(0) 6142-54233
SV Alemannia Königstädten 1907 e.V.,ruesselsheim,fussball,https://sva-koenigstaedten.de,,
SV Disbu Rüsselsheim e.V.,ruesselsheim,mehrsport,https://disbu.de,,
SV Scheibensucher Rüsselsheim e.V.,ruesselsheim,sonstiges_sport,https://scheibensucher.de,,
